Name,Forcefield,Lipid,Software,Files
Wu2014_0_ARAC,charmm36,ARAC - Arachidic acid - 20:0,Charmm,"ARAC.pdb,  ARAC.str"
Wu2014_-1_BEHE,charmm36,BEHE - Behenic acid - 22:0,Charmm,"BEHE.pdb,  BEHE.str"
Wu2014_0_BEHE,charmm36,BEHE - Behenic acid - 22:0,Charmm,"BEHE.pdb,  BEHE.str"
Wu2014_-1_TRIC,charmm36,TRIC - Tricosylic acid - 23:0,Charmm,"TRIC.pdb,  TRIC.str"
Wu2014_0_TRIC,charmm36,TRIC - Tricosylic acid - 23:0,Charmm,"TRIC.pdb,  TRIC.str"
Wu2014_-1_LIGN,charmm36,LIGN - Lignoceric acid - 24:0,Charmm,"LIGN.pdb,  LIGN.str"
Wu2014_0_LIGN,charmm36,LIGN - Lignoceric acid - 24:0,Charmm,"LIGN.pdb,  LIGN.str"
Wu2014_-1_ARAN,charmm36,"ARAN - Arachidonic acid - 20:4(5Z,8Z,11Z,14Z)",Charmm,"ARAN.pdb,  ARAN.str"
Wu2014_0_ARAN,charmm36,"ARAN - Arachidonic acid - 20:4(5Z,8Z,11Z,14Z)",Charmm,"ARAN.pdb,  ARAN.str"
Wu2014_-1_OLEI,charmm36,OLEI - Oleic acid - 18:1(9Z),Charmm,"OLEI.pdb,  OLEI.str"
Wu2014_0_OLEI,charmm36,OLEI - Oleic acid - 18:1(9Z),Charmm,"OLEI.pdb,  OLEI.str"
Wu2014_-1_MYRO,charmm36,MYRO - Myristoleic acid - 14:1(9Z),Charmm,"MYRO.pdb,  MYRO.str"
Wu2014_0_MYRO,charmm36,MYRO - Myristoleic acid - 14:1(9Z),Charmm,"MYRO.pdb,  MYRO.str"
Wu2014_-1_PALO,charmm36,PALO - cis-9-palmitoleic acid - 16:1(9Z),Charmm,"PALO.pdb,  PALO.str"
Wu2014_0_PALO,charmm36,PALO - cis-9-palmitoleic acid - 16:1(9Z),Charmm,"PALO.pdb,  PALO.str"
Wu2014_-1_EICO,charmm36,EICO - cis-gondoic acid - 20:1(11Z),Charmm,"EICO.pdb,  EICO.str"
Wu2014_0_EICO,charmm36,EICO - cis-gondoic acid - 20:1(11Z),Charmm,"EICO.pdb,  EICO.str"
Wu2014_-1_ERUC,charmm36,ERUC - cis-erucic acid - 22:1(13Z),Charmm,"ERUC.pdb,  ERUC.str"
Wu2014_0_ERUC,charmm36,ERUC - cis-erucic acid - 22:1(13Z),Charmm,"ERUC.pdb,  ERUC.str"
Wu2014_-1_NERV,charmm36,NERV - Nervonic acid - 24:1(15Z),Charmm,"NERV.pdb,  NERV.str"
Wu2014_0_NERV,charmm36,NERV - Nervonic acid - 24:1(15Z),Charmm,"NERV.pdb,  NERV.str"
